Name of Organisation,Objective,Services,SDGs,Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,Focus 9,Focus 10,Target Group,Age Category,Gender,Can individuals contact them?,Phone Number,Email,Web Address,Address,Region,Code_region,Notes
Croix Rouge Internationale,"The Senegalese leg of Croix Rouge Internationale is an independent and neutral Senegalese social and humanitarian organization that works according to the seven principles of the International Red Cross and Red Crescent Movement, of which it is a member.","Emergency shelter, reception and information, emergency food, emergency clothing, personal services and family reunion.","(1) No Poverty, (2) No Hunger, (3) Health, (3) Health, (11) Sustainable Communities, (4) Education",Health support.,"Handling, preventing, and assisting victims of situations of crisis.",Helping asylum refugees.,Access to clean water and basic needs.,,,,,,,"Women
Children
Vulnerable people/communities
NGOs and associations","C,Y,E,A","F,M",TRUE,338233992,,http://www.croix-rouge.sn/ (still in conception phase),"3, Boulevard Franklin D. Roosevelt, Plateau",Dakar,Dakar,
Caritas,Caritas shares the mission of the Catholic Church to serve the poor and promote charity and justice throughout the world.,"Caritas Senegal is actively involved in programs and projects related to risk and disaster management, the fight for human development through access to water and sanitation, the strengthening of production and transformation capacities, the management of migration and advocacy for the respect of human rights.","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (6) Water/Sanitation, (11) Sustainable Communities, (10) Inequalities",Humanitarian aid and philanthropy.,Response to situations of crisis.,Access to Water.,Sanitation.,,,,,,,"Poor people and communities, communities facing natural disasters, other vulnerable communities","E,A","F,M",TRUE,338340528,,https://www.caritas.org/ou-nous-trouver/afrique/senegal/?lang=fr,Road of Rufisque Diamaguene Sicap Mbao,Dakar / Pikine,Dakar,
FAO,Food security for everyone and making sure people get access to high quality.,"Promoting decent employment for youth in rural zones, reinforcing food and nutrition security, supporting preservation of ecosystems.","(2) No Hunger, (15) Life on land, (10) Inequalities, (11) Sustainable Communities, (12) Responsible Consumption / Production","Promotion of the agro-sylvo-pastoral, fisheries and aquaculture sectors.",Improving food security and nutrition and promoting good nutrition practices among vulnerable populations.,Durable management of the environment and natural resources.,,,,,,,,"Ngos and associations, Youth looking for employement in the rural zones, other initatives related to food and food security",,,FALSE,338891666,FAO-SN@fao.org,https://www.fao.org/senegal/la-fao-au-senegal/en/,"15, Rue Calmette X Rue El-Hadj Amadou Assane Ndoye",Dakar,Dakar,"Their area is wide enough while still being linked to food, agriculture, etc. From promoting decent employment for youth in rural zones, to reinforce food and nutrition security, support to preserving ecosystems."
GIZ,"Helping the country to meet its energy needs while respecting the climate, supporting it in the field of renewable energy and energy efficiency.","Programs and projects that include and/or support youth. Assists organizations (public and private) to acquire specialized skills, among others things. Fee-based service.","(7) Clean Energy, (9) Industry / Innovation / Infrastructure, (11) Sustainable Communities, (12) Responsible Consumption / Production, (13) Climate","Sustainable infrastructure concerning the water, energy and transport aspects.",Governance and democracy.,Durable management of the environment and the natural resources.,"Security, reconstruction and peace.",Social development.,Economic development and employment.,,,,,"Entrepreneurs, Ngos looking for training/engineering","E,A","F,M",TRUE,338899600,giz-senegal@giz.de,http://giz.de,"Regional office : Dakar 109, rue Carnot × El Hadj Mass Diokhané",Dakar,Dakar,"From what I gathered, even tho they help youth and other vulnerable social strates, the services are mostly (if not all) chargeable, in a way. They have this ""Succeed in Senegal"" program around which a lot of their actions turn."
GRET,A better and more sustainable world.,"Proposes projects, supports local citizen movement. Promotes access to water and sanitation for people in rural zones.","(1) No Poverty, (2) No Hunger, (11) Sustainable Communities, (6) Water/Sanitation, (10) Inequalities",Fighting against inequalities through economical development and access to services.,Face environmental and climatic shocks.,Citizenship.,Water and sanitation.,Agriculture.,Microfinance.,,,,,"Rural communities, small businesses and local entreprises","E,A","F,M",TRUE,338493597,giz-senegal@giz.de,http://gret.org,"Hann Maristes, route des Pères Maristes",Dakar,Dakar,
IntraHealth,"Strengthen the country's health systems and bring high-quality.
Integrate health services to more communities.","Capacity building for health workers.
Use tech and innovation to improve healthcare.
Advocacy and sensitization.",(3) Health,Covid-19 response.,HIV/AIDS.,Family planning and reproductive health.,"Maternal, new born and child health.",Global health security.,Nutrition.,Chronic and noncommunicable diseases.,Infectious diseases.,,,"Government, heath workers and other local stakeholders in Senegal","E,A","F,M",TRUE,338697479,,https://www.intrahealth.org/countries/senegal,"85, Lot C & E, Sacré Coeur Pyrotechnique",Dakar,Dakar,
IPAR,"To break with the technocratic and top-down approach, experts and development executives have joined forces with peasant leaders, actors from local communities and civil society supporting / accompanying public and private actors at all levels (local, regional and national), by providing them with the information, analyzes and research work necessary for their reflections.","Education, public debates and research.","(4) Education, (8) Work / Economic Growth, (11) Sustainable Communities",Education of journalists.,Agriculture apprenticeships.,Executive Training.,Research.,Public Debates.,,,,,,"Journalists, farmers, other people looking for training/education/exchange","E,A","F,M",TRUE,338690079,,http://www.ipar.sn,"Immeuble Kër Jacques Faye, Lot 445, Ngor, BP -16788 Dakar-Fann",Dakar,Dakar,
Médecins sans Frontière,"Providing assistance to populations in distress, to victims of natural or man-made disasters and to victims of armed conflict, regardless of race, religion, creed or political convictions, in the name of universal medical ethics and the right to humanitarian assistance and claims full and unhindered freedom in the exercise of its functions.","Around health, and sensibilisation about conflicts, their consequences, epidemics, maltreatment.",(3) Health,Health.,Epidemic management.,,,,,,,,,"People affected by conflict, epidemics, disasters, or exclusion from healthcare",,,FALSE,,,https://www.msf.org/,,,Worldwide,
OIM,Helping vulnerable migrants in West Africa.,Address complex challenges and seize opportunities that migration offers to both migrants and society.,"(8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities, (16) Justice / Institutions, (1) No Poverty",Humanitarian response and resilience.,Mobility.,Governance.,,,,,,,,Migrants In West-Af,"E,A","F,M",TRUE,338696200,rodakar@iom.int,https://rodakar.iom.int/fr/country/s%C3%A9n%C3%A9gal,"Zone 3, Almadies road",Dakar,Dakar,The one in Dakar is the regional office for West and Central Africa. Each regional office has been asked to develop its own strategic priorities for 2020-2024. This one's are in the first three focus.
African Peace Corps,Immersion in a community and working side by side with the local leaders.,"Facilitate immersion to international volunteers in local communities and put them to service in local projects in agriculture, comunity economic development, environment and health.","(3) Health, (4) Education, (11) Sustainable Communities, (10) Inequalities, (15) Life on land",Health.,Community Economic Development.,Agriculture.,,,,,,,,Internationals looking for immersion,"E,A","F,M",TRUE,338597575,senegaldesk@peacecorps.gov,https://www.peacecorps.gov/senegal/,Almadies Lot N/1 TF 23231,Dakar,Dakar,The senegalese program is one of headlights. They privilege long-term projects. Also local languages to interact with the people they're in contact with. The focuses are actually projects in those areas in Senegal since it's not really precised.
PNUD / UNDP,Help goverment and communities reach the 17SDGs.,"Financial and technical support for goverment.
Financial and technical support to NGOs.","(5) Gender Equality, (1) No Poverty, (16) Justice / Institutions, (15) Life on land, (12) Responsible Consumption / Production",Eradicate all forms of poverty.,Accelerate structural transformations.,Reinforce crisis resilience.,,,,,,,,"Other Ngos and Associations, vulnerable communities, government","E,A","F,M",TRUE,338596767,,http://sn.undp.org,Route King Fahd,Dakar,Dakar,
Positive Planet,Prevent precariousness from emerging and persisting in less advanced countries.,"Capacity building, Education, building leadership, financial education,insurance companies, microfinance institutions.","(1) No Poverty, (4) Education, (5) Gender Equality, (8) Work / Economic Growth",Capacity building for youth and women.,Financial independance for youth and women.,,,,,,,,,"Youth looking for work
Women
People living with disabilities
Vulnerable people","Y,E,A","F,M",TRUE,338252000,contact@postiveplanet.ngo,,Point E,Dakar,Dakar,Sharing the mission the United Nations Organization's views about sustainable development goals.
Save the Children,Helping children.,"Education, healthcare, advocacy and sensitization.","(4) Education, (11) Sustainable Communities, (10) Inequalities",Education for children.,HIV /SIDA.,"Education, advocacy and sensitization about children's rights.",,,,,,,,Children,C,,TRUE,338654400,scidakar@savethechildren.org,http://senegal.savethechildren.net,"Route de Ngor, Dakar - Senegal",Dakar,Dakar,
Secours Islamique France,Improving fondamental services towards sustainable development.,"School support, Education, advocacy, techinal and financial support to organizations and communities.","(4) Education, (6) Water/Sanitation, (2) No Hunger, (11) Sustainable Communities, (8) Work / Economic Growth",Food security and nutrition.,Access to water and sanitization.,Education for children.,Professionnal insertion.,Support to orphans.,,,,,,"Orphans, Youth, local communities",C,,TRUE,,,," 76, Nord Foire Azur - Dakar",Dakar,Dakar,
Sightsavers,Prevent avoidable blindness and make sure eye care services are available for everyone who needs them.,Healthcare.,"(3) Health, (10) Inequalities",Assure access to health services to vulnerable and marginalized people.,Eliminate trachoma (a tropical desease).,Support to disabled people.,,,,,,,,Marginalized/disabled in need of support/eyecare service,"C,Y,E,A","F,M",TRUE,,,https://www.sightsavers.org/where-we-work/senegal/,"VDN cité Teylium lot 36, 2e étage, Dakar - Sénégal",Dakar,Dakar,
Solthis,Improve prevention and access to quality care by strengthening the health systems and services.,"Capacity training for health workers.
Health system reinforcement.","(3) Health, (4) Education",Infectious deseases.,Maternal and child health.,Sexual and reproductive health and rights.,Health system and services strenghenting.,,,,,,,"Health workers, and health organizations",,,FALSE,,,https://www.solthis.org/fr/solthis-au-senegal/,"36, rue OKM 31, Cité Mamelles, Ouakam, Dakar, Senegal",Dakar,Dakar,
UNESCO,"It seeks to build peace through international cooperation in Education, Sciences and Culture.","School and Education support, promotion and protection of peace, conservation and protection of communities' culture, advocacy, sensitization and research about human rights, protection or the environment.","(3) Health, (4) Education, (11) Sustainable Communities, (12) Responsible Consumption / Production, (15) Life on land, (16) Justice / Institutions, (17) Partnerships",Equal access to education for all.,Peaceful relationship between goverments.,Communities' well being.,Sensitization about environement and climate changes.,Cultural conservation.,Promotion of 17 SDGs.,,,,,"Youth, local communities, vulnerable people","C,Y,E,A","F,M",TRUE,338649600,dakar@unesco.org,https://fr.unesco.org/fieldoffice/dakar/,"Route de Ngor, Enceinte Hôtel Ngor Diarama, Dakar",Dakar,Dakar,
UNHCR,Helping refugees.,"Financial support, advice for refugees, Education, protection and safety for refugees.","(10) Inequalities, (8) Work / Economic Growth, (3) Health, (5) Gender Equality, (1) No Poverty, (4) Education, (16) Justice / Institutions",Refugees' protection.,Youth and children's protection.,Women protection.,LGBTI's protection.,Protecting the disabled people.,,,,,,"Refugees, asylum seekers, relocated populations","C,Y,E,A","F,M",TRUE,338597050,senda@unhcr.org,https://www.unhcr.org/senegal.html,"FAALO, route du King Fahd Palace (Ex Meridien), 3125 Dakar, Senegal, B.P. 3125, Dakar, Senegal",Dakar,Dakar,
UNICEF,Helping children.,"Education, healthcare, Vaccination, food, advocacy and support for ending violence against children and promoting birth registration.","(2) No Hunger, (3) Health, (4) Education, (5) Gender Equality, (10) Inequalities, (11) Sustainable Communities, (17) Partnerships",Education for children.,Vaccination for children and women.,Food security and nutrition.,Birth registration.,"Education,advocacy and sensitization about children's rights.",Water access and sanitization for children's well being.,Equal access to education.,,,,Children,"C,Y,E,A",F,TRUE,338310200,"Communication Specialist: aleclercqbalde@unicef.org

Communication Specialist: diyameogo@unicef.org",https://www.unicef.org/wca/,,,Worldwide,
